Cod_setor,domi2V050,domi2V051,domi2V052,domi2V053,domi2V054,domi2V055,domi2V056,domi2V057,domi2V058,domi2V059
420190105000004,1,10,12,9,1,1,1,0,0,0
420190105000005,2,6,3,3,2,0,0,0,0,0
420190105000006,16,61,51,47,23,6,4,1,0,0
420190105000009,0,0,0,0,0,0,0,0,0,0
420190105000010,0,0,0,0,0,0,0,0,0,0
420190105000011,0,0,0,0,0,0,0,0,0,0
420190105000012,10,38,26,20,9,7,1,0,0,0
420190105000013,12,30,28,37,20,7,0,1,0,0
420190105000014,8,32,32,28,15,5,1,0,0,1
420190105000015,7,37,37,40,17,6,0,0,0,0
420190105000016,5,36,39,32,15,5,1,1,0,0
420190105000017,11,41,49,31,21,7,2,1,0,0
420190105000018,9,38,32,35,9,5,3,1,0,1
420190105000019,18,36,53,34,18,6,2,1,0,0
420190105000020,17,52,49,50,18,4,1,1,0,0
420195005000001,4,15,11,7,3,2,1,0,0,0
420195005000002,17,42,29,19,8,3,0,0,1,0
420195005000003,22,51,33,24,11,2,0,0,0,0
420195005000004,10,23,14,16,2,2,0,0,0,0
420195005000005,10,14,7,5,1,0,1,0,0,0
420195005000006,8,12,18,6,1,0,0,0,0,0
420195005000007,23,47,35,24,9,2,0,0,0,0
420195005000008,59,92,78,67,29,6,5,0,1,0
420195005000009,30,21,14,14,3,0,0,0,0,0
420195005000010,13,4,6,3,0,1,0,0,0,0
420195005000011,6,12,6,4,3,0,1,0,0,0
420195005000012,9,18,16,3,1,0,0,0,0,0
420195005000013,15,34,30,19,3,1,0,0,0,1
420195005000014,16,27,21,9,5,1,0,0,0,0
420195005000015,29,49,50,26,25,4,2,0,0,0
420195005000016,40,109,89,76,34,22,11,2,1,1
420195005000017,6,17,15,9,6,3,0,0,0,0
420195005000018,23,65,54,35,25,14,4,2,0,0
420195005000019,29,47,46,28,16,4,3,1,1,0
420195005000020,12,38,25,12,7,6,2,0,0,0
420195005000021,13,28,17,10,6,3,0,0,0,0
420195005000022,9,17,7,5,2,0,1,0,0,0
420195005000023,1,4,2,4,0,1,0,1,0,0
420195005000024,6,8,8,5,2,2,0,0,0,0
420195005000025,12,30,22,8,7,2,1,0,0,0
420195005000026,14,37,31,36,11,6,2,1,0,1
420195005000027,6,22,17,11,8,3,0,0,1,0
420195005000028,17,48,36,21,10,6,1,0,0,0
420195005000029,5,41,28,27,13,2,1,0,0,0
420195005000030,20,51,20,14,5,3,2,0,0,0
