Cod_setor,NM_MUNICIP,areametros
420127305000005,ARABUTÃ,625272
420127305000006,ARABUTÃ,16553184
420127310000001,ARABUTÃ,1452875
420127310000002,ARABUTÃ,16141451
420127310000003,ARABUTÃ,22871920
420127310000004,ARABUTÃ,23943478
420130705000001,ARAQUARI,6982666
420130705000002,ARAQUARI,1335252
420130705000003,ARAQUARI,4736265
420130705000004,ARAQUARI,343540
420130705000005,ARAQUARI,5604
420130705000006,ARAQUARI,793713
420130705000007,ARAQUARI,4968633
420130705000008,ARAQUARI,3927434
420130705000009,ARAQUARI,1503557
420130705000010,ARAQUARI,1695806
420130705000011,ARAQUARI,313333
420130705000012,ARAQUARI,3493827
420130705000013,ARAQUARI,2720973
420130705000014,ARAQUARI,285714
420130705000015,ARAQUARI,918808
420130705000016,ARAQUARI,937040
420130705000017,ARAQUARI,4557486
420130705000018,ARAQUARI,3145513
420130705000019,ARAQUARI,368089
420130705000020,ARAQUARI,5395747
420130705000021,ARAQUARI,51166
420130705000022,ARAQUARI,2160791
420130705000023,ARAQUARI,4402825
420130705000024,ARAQUARI,3028134
420130705000025,ARAQUARI,18042634
420130705000026,ARAQUARI,13705610
420130705000027,ARAQUARI,48548
420130705000028,ARAQUARI,34278437
420130705000029,ARAQUARI,59264514
420130705000030,ARAQUARI,9767
420130705000031,ARAQUARI,72427
420130705000032,ARAQUARI,2383693
420130705000033,ARAQUARI,985191
420130705000034,ARAQUARI,1202507
420130705000035,ARAQUARI,653713
420130705000036,ARAQUARI,206837
420130705000037,ARAQUARI,531669
420130705000038,ARAQUARI,20559781
420130705000039,ARAQUARI,2670429
420130705000040,ARAQUARI,2515544
420130705000041,ARAQUARI,146455
420130705000042,ARAQUARI,8445905
420130705000043,ARAQUARI,1127445
420130705000044,ARAQUARI,423173
420130705000045,ARAQUARI,11880517
420130705000062,ARAQUARI,162392
420130705000063,ARAQUARI,1246003
420130705000064,ARAQUARI,152228
420130705000065,ARAQUARI,29864
420130705000066,ARAQUARI,14748455
420130710000001,ARAQUARI,3581677
420130710000002,ARAQUARI,225274
420130710000003,ARAQUARI,2498016
420130710000004,ARAQUARI,6442968
420130710000005,ARAQUARI,38883622
420130710000006,ARAQUARI,4040694
420130710000007,ARAQUARI,252480
420140605000001,ARARANGUÁ,412260
420140605000002,ARARANGUÁ,195748
420140605000003,ARARANGUÁ,568397
420140605000004,ARARANGUÁ,427798
420140605000005,ARARANGUÁ,391097
420140605000006,ARARANGUÁ,286547
420140605000007,ARARANGUÁ,313861
420140605000008,ARARANGUÁ,173903
420140605000009,ARARANGUÁ,196454
420140605000010,ARARANGUÁ,290138
420140605000011,ARARANGUÁ,391236
420140605000012,ARARANGUÁ,440496
420140605000013,ARARANGUÁ,145574
420140605000014,ARARANGUÁ,194275
420140605000015,ARARANGUÁ,1355339
420140605000016,ARARANGUÁ,523679
420140605000017,ARARANGUÁ,218636
420140605000018,ARARANGUÁ,253614
420140605000019,ARARANGUÁ,706250
420140605000020,ARARANGUÁ,437485
420140605000021,ARARANGUÁ,228371
420140605000022,ARARANGUÁ,200352
420140605000023,ARARANGUÁ,176212
420140605000024,ARARANGUÁ,217033
420140605000025,ARARANGUÁ,218558
420140605000026,ARARANGUÁ,781417
420140605000027,ARARANGUÁ,241844
420140605000028,ARARANGUÁ,234753
420140605000029,ARARANGUÁ,217376
420140605000030,ARARANGUÁ,149567
420140605000031,ARARANGUÁ,540828
420140605000032,ARARANGUÁ,163790
420140605000033,ARARANGUÁ,398141
420140605000034,ARARANGUÁ,440658
420140605000035,ARARANGUÁ,903783
420140605000036,ARARANGUÁ,686557
420140605000037,ARARANGUÁ,699687
420140605000038,ARARANGUÁ,1022318
420140605000039,ARARANGUÁ,1377579
420140605000040,ARARANGUÁ,816754
420140605000041,ARARANGUÁ,436035
420140605000042,ARARANGUÁ,304896
420140605000043,ARARANGUÁ,220829
420140605000044,ARARANGUÁ,162386
420140605000045,ARARANGUÁ,238275
420140605000046,ARARANGUÁ,180353
420140605000047,ARARANGUÁ,203496
420140605000048,ARARANGUÁ,776759
420140605000049,ARARANGUÁ,788407
420140605000050,ARARANGUÁ,570699
420140605000051,ARARANGUÁ,555071
420140605000052,ARARANGUÁ,363748
420140605000053,ARARANGUÁ,204930
420140605000054,ARARANGUÁ,240974
420140605000055,ARARANGUÁ,811555
420140605000056,ARARANGUÁ,668042
420140605000071,ARARANGUÁ,222458
420140605000072,ARARANGUÁ,135374
420140605000073,ARARANGUÁ,67599
420140605000074,ARARANGUÁ,124196
420140605000075,ARARANGUÁ,302820
420140605000076,ARARANGUÁ,617869
420140605000077,ARARANGUÁ,18703712
420140605000078,ARARANGUÁ,5037362
420140605000079,ARARANGUÁ,29134327
420140605000080,ARARANGUÁ,9086074
420140605000081,ARARANGUÁ,17026559
420140605000082,ARARANGUÁ,28592436
420140610000001,ARARANGUÁ,521886
420140610000002,ARARANGUÁ,847505
420140610000003,ARARANGUÁ,1350221
420140610000004,ARARANGUÁ,35313839
420140610000005,ARARANGUÁ,18310707
420140610000006,ARARANGUÁ,19001354
420140615000001,ARARANGUÁ,1365896
420140615000002,ARARANGUÁ,4926334
420140615000003,ARARANGUÁ,1670395
420140615000004,ARARANGUÁ,17746547
420140625000001,ARARANGUÁ,513537
420140625000002,ARARANGUÁ,15642256
420140625000003,ARARANGUÁ,11847102
420140625000004,ARARANGUÁ,10690424
420140625000005,ARARANGUÁ,8360679
420140625000006,ARARANGUÁ,17486390
420150505000001,ARMAZÉM,767151
420150505000002,ARMAZÉM,277036
420150505000003,ARMAZÉM,443031
420150505000004,ARMAZÉM,377858
420150505000005,ARMAZÉM,14123908
420150505000006,ARMAZÉM,8703332
420150505000007,ARMAZÉM,21394681
420150505000008,ARMAZÉM,13059163
420150505000009,ARMAZÉM,23762924
420150505000010,ARMAZÉM,27484621
420150505000011,ARMAZÉM,22186268
420150505000012,ARMAZÉM,13088820
420150505000013,ARMAZÉM,916244
420150505000014,ARMAZÉM,1061637
420150505000015,ARMAZÉM,1171052
420150505000016,ARMAZÉM,393353
420150505000017,ARMAZÉM,278404
420150505000018,ARMAZÉM,2303300
420150505000019,ARMAZÉM,21808076
420160405000001,ARROIO TRINTA,917701
420160405000002,ARROIO TRINTA,912936
420160405000003,ARROIO TRINTA,988242
420160405000004,ARROIO TRINTA,409954
420160405000005,ARROIO TRINTA,45223901
420160405000006,ARROIO TRINTA,45775706
420165305000001,ARVOREDO,713472
420165305000002,ARVOREDO,29025179
420165305000003,ARVOREDO,26819849
420165305000004,ARVOREDO,28671584
420165305000005,ARVOREDO,1662415
420165305000006,ARVOREDO,109897
420165305000007,ARVOREDO,3739239
420170305000001,ASCURRA,1271658
420170305000002,ASCURRA,444068
420170305000003,ASCURRA,667463
420170305000004,ASCURRA,1601058
420170305000005,ASCURRA,2037413
420170305000006,ASCURRA,529699
420170305000007,ASCURRA,1487585
420170305000008,ASCURRA,3308665
420170305000009,ASCURRA,3914890
420170305000010,ASCURRA,26996142
420170305000011,ASCURRA,176186
420170305000012,ASCURRA,27586496
420170305000013,ASCURRA,40860901
420180205000001,ATALANTA,375069
420180205000002,ATALANTA,245687
420180205000003,ATALANTA,16031940
420180205000004,ATALANTA,17966447
420180205000005,ATALANTA,9149706
420180205000006,ATALANTA,62435
420180205000007,ATALANTA,22883
420180205000008,ATALANTA,57380
420180205000009,ATALANTA,11217
420180205000010,ATALANTA,37573
420180205000011,ATALANTA,18895719
420180205000012,ATALANTA,17603852
420180205000013,ATALANTA,13692035
420190105000001,AURORA,612171
420190105000002,AURORA,274653
420190105000003,AURORA,40241
420190105000004,AURORA,66912
420190105000005,AURORA,22670
420190105000006,AURORA,2332240
420190105000007,AURORA,5604
420190105000008,AURORA,13783
420190105000009,AURORA,20582
420190105000010,AURORA,4941
420190105000011,AURORA,9511
420190105000012,AURORA,44357584
420190105000013,AURORA,26511275
420190105000014,AURORA,21851729
420190105000015,AURORA,18448062
420190105000016,AURORA,34729316
420190105000017,AURORA,21070090
420190105000018,AURORA,13769443
420190105000019,AURORA,21697814
420190105000020,AURORA,664005
420190105000021,AURORA,19840
420190105000022,AURORA,24076
420195005000001,BALNEÁRIO ARROIO DO SILVA,152754
420195005000002,BALNEÁRIO ARROIO DO SILVA,391459
420195005000003,BALNEÁRIO ARROIO DO SILVA,524640
420195005000004,BALNEÁRIO ARROIO DO SILVA,132318
420195005000005,BALNEÁRIO ARROIO DO SILVA,188314
420195005000006,BALNEÁRIO ARROIO DO SILVA,115650
420195005000007,BALNEÁRIO ARROIO DO SILVA,508180
420195005000008,BALNEÁRIO ARROIO DO SILVA,722502
420195005000009,BALNEÁRIO ARROIO DO SILVA,108698
420195005000010,BALNEÁRIO ARROIO DO SILVA,100654
420195005000011,BALNEÁRIO ARROIO DO SILVA,152531
420195005000012,BALNEÁRIO ARROIO DO SILVA,83858
420195005000013,BALNEÁRIO ARROIO DO SILVA,150052
420195005000014,BALNEÁRIO ARROIO DO SILVA,149456
420195005000015,BALNEÁRIO ARROIO DO SILVA,172421
420195005000016,BALNEÁRIO ARROIO DO SILVA,580215
420195005000017,BALNEÁRIO ARROIO DO SILVA,172006
420195005000018,BALNEÁRIO ARROIO DO SILVA,504030
420195005000019,BALNEÁRIO ARROIO DO SILVA,882980
420195005000020,BALNEÁRIO ARROIO DO SILVA,1329066
420195005000021,BALNEÁRIO ARROIO DO SILVA,3372458
420195005000022,BALNEÁRIO ARROIO DO SILVA,5994708
420195005000023,BALNEÁRIO ARROIO DO SILVA,8452910
420195005000024,BALNEÁRIO ARROIO DO SILVA,155993
420195005000025,BALNEÁRIO ARROIO DO SILVA,333959
420195005000026,BALNEÁRIO ARROIO DO SILVA,1145453
420195005000027,BALNEÁRIO ARROIO DO SILVA,1271645
420195005000028,BALNEÁRIO ARROIO DO SILVA,3251396
420195005000029,BALNEÁRIO ARROIO DO SILVA,315054
420195005000030,BALNEÁRIO ARROIO DO SILVA,4190945
420195005000031,BALNEÁRIO ARROIO DO SILVA,59633251
420200805000001,BALNEÁRIO CAMBORIÚ,36241
420200805000002,BALNEÁRIO CAMBORIÚ,6728
420200805000003,BALNEÁRIO CAMBORIÚ,8149
420200805000004,BALNEÁRIO CAMBORIÚ,27845
420200805000005,BALNEÁRIO CAMBORIÚ,30947
420200805000006,BALNEÁRIO CAMBORIÚ,12136
420200805000007,BALNEÁRIO CAMBORIÚ,29940
420200805000008,BALNEÁRIO CAMBORIÚ,41219
420200805000009,BALNEÁRIO CAMBORIÚ,31746
420200805000010,BALNEÁRIO CAMBORIÚ,96503
420200805000011,BALNEÁRIO CAMBORIÚ,133729
420200805000012,BALNEÁRIO CAMBORIÚ,82248
420200805000013,BALNEÁRIO CAMBORIÚ,30098
420200805000014,BALNEÁRIO CAMBORIÚ,21724
420200805000015,BALNEÁRIO CAMBORIÚ,10899
420200805000016,BALNEÁRIO CAMBORIÚ,23738
420200805000017,BALNEÁRIO CAMBORIÚ,6903
420200805000018,BALNEÁRIO CAMBORIÚ,26424
420200805000019,BALNEÁRIO CAMBORIÚ,18576
420200805000020,BALNEÁRIO CAMBORIÚ,8979
420200805000021,BALNEÁRIO CAMBORIÚ,19866
420200805000022,BALNEÁRIO CAMBORIÚ,22780
420200805000023,BALNEÁRIO CAMBORIÚ,31912
420200805000024,BALNEÁRIO CAMBORIÚ,34299
420200805000025,BALNEÁRIO CAMBORIÚ,17786
420200805000026,BALNEÁRIO CAMBORIÚ,22043
420200805000027,BALNEÁRIO CAMBORIÚ,14090
420200805000028,BALNEÁRIO CAMBORIÚ,21725
420200805000029,BALNEÁRIO CAMBORIÚ,26676
