Cod_setor,domi1V001,domi1V002,domi1V003,domi1V004,domi1V005,domi1V006,domi1V007,domi1V008,domi1V009,domi1V010,domi1V011
420120805000005,1035,1035,1035,0,0,987,20,6,10,11,1
420120805000006,1104,1104,1104,0,0,1052,0,48,0,4,0
420120805000007,331,331,331,0,0,331,0,0,0,0,0
420120805000008,795,795,792,3,0,738,10,27,7,13,0
420125705000001,368,368,368,0,0,182,8,172,0,6,0
420125705000002,751,744,669,13,62,390,0,350,2,2,0
420125705000003,536,536,505,0,31,368,38,123,0,7,0
420125705000004,926,926,916,0,10,650,20,228,14,14,0
420125705000005,400,400,393,0,4,276,20,52,13,39,0
420125705000006,923,923,923,0,0,748,50,56,12,54,3
420125705000007,446,443,442,0,0,409,8,7,9,9,1
420125705000008,310,310,310,0,0,260,9,0,29,12,0
420125705000009,386,378,378,0,0,320,19,14,1,24,0
420125705000010,291,291,291,0,0,233,9,3,43,3,0
420125705000011,315,313,313,0,0,282,3,2,5,19,2
420125705000012,599,599,599,0,0,489,4,34,59,11,2
420125705000013,775,775,767,0,7,620,30,78,24,23,0
420125705000014,566,566,566,0,0,451,45,31,19,20,0
420125705000015,677,677,675,2,0,488,2,133,22,32,0
420125705000016,16,0,0,0,0,0,0,0,0,0,0
420125705000018,8,0,0,0,0,0,0,0,0,0,0
420125705000020,674,674,673,0,0,492,57,97,6,22,0
420125705000021,633,633,619,0,14,440,34,134,10,15,0
420127305000001,540,536,529,0,7,305,73,134,5,11,8
420127305000002,408,408,408,0,0,359,6,2,14,27,0
420127305000003,410,410,410,0,0,346,25,6,26,7,0
420127305000004,277,276,276,0,0,239,29,8,0,0,0
420127305000005,543,543,541,0,2,289,65,158,4,27,0
420127305000006,405,401,401,0,0,338,34,16,11,2,0
420127310000001,224,224,224,0,0,167,11,20,14,12,0
420127310000002,412,408,408,0,0,305,28,0,67,8,0
420127310000003,520,520,520,0,0,386,44,23,33,34,0
420127310000004,454,454,454,0,0,328,63,8,40,15,0
420130705000001,353,353,353,0,0,346,0,7,0,0,0
420130705000002,43,43,43,0,0,35,0,8,0,0,0
420130705000003,889,889,889,0,0,766,0,74,31,18,0
420130705000004,724,724,685,0,36,588,33,81,2,20,0
420130705000005,59,59,59,0,0,54,5,0,0,0,0
420130705000006,612,612,611,0,1,480,10,77,3,26,16
420130705000007,1050,1046,1046,0,0,805,63,105,6,67,0
420130705000008,751,751,730,0,21,500,11,172,9,59,0
420130705000009,1085,1085,1081,0,4,797,72,167,20,29,0
420130705000010,1007,1004,993,3,8,837,34,86,11,34,2
420130705000011,657,657,657,0,0,287,294,73,0,0,3
420130705000012,1132,1132,1111,0,21,861,40,152,25,54,0
420130705000013,2660,2657,2638,0,16,612,1642,318,3,71,11
420130705000014,788,788,770,0,18,603,88,92,0,5,0
420130705000015,1455,1455,1455,0,0,1041,106,212,4,92,0
420130705000016,1454,1453,1451,0,2,874,376,169,6,25,3
420130705000017,20,20,20,0,0,20,0,0,0,0,0
420130705000018,501,501,474,1,26,262,7,84,128,20,0
420130705000019,34,34,34,0,0,5,0,0,29,0,0
420130705000020,58,58,58,0,0,34,2,3,19,0,0
420130705000023,1230,1216,1210,0,6,799,108,123,162,24,0
420130705000025,55,55,55,0,0,41,0,0,7,7,0
420130705000026,85,83,83,0,0,64,0,7,10,2,0
420130705000027,27,27,27,0,0,27,0,0,0,0,0
420130705000028,208,208,208,0,0,156,0,7,36,9,0
420130705000029,459,459,456,0,0,303,13,17,92,29,5
420130705000031,90,90,90,0,0,86,4,0,0,0,0
420130705000032,741,741,741,0,0,650,2,80,3,6,0
420130705000033,450,450,448,0,2,368,11,44,4,21,2
420130705000034,685,685,685,0,0,571,10,82,13,9,0
420130705000035,500,500,479,5,16,306,136,39,6,13,0
420130705000036,1016,1016,1005,0,11,188,693,130,0,5,0
420130705000037,854,854,854,0,0,745,0,97,6,6,0
420130705000038,61,61,61,0,0,25,0,19,15,2,0
420130705000040,176,176,176,0,0,137,0,2,34,0,3
420130705000041,7,0,0,0,0,0,0,0,0,0,0
420130705000042,280,280,280,0,0,188,0,15,65,12,0
420130705000045,5,0,0,0,0,0,0,0,0,0,0
420130705000047,6,0,0,0,0,0,0,0,0,0,0
420130705000048,5,0,0,0,0,0,0,0,0,0,0
420130705000053,79,79,79,0,0,75,0,0,4,0,0
420130705000058,3,0,0,0,0,0,0,0,0,0,0
420130705000059,17,17,17,0,0,13,0,0,1,3,0
420130705000061,12,0,0,0,0,0,0,0,0,0,0
420130705000063,41,41,41,0,0,41,0,0,0,0,0
420130710000001,1277,1259,1256,0,0,997,22,137,50,53,0
420130710000003,422,422,422,0,0,359,2,19,18,20,4
420130710000004,550,550,550,0,0,459,11,23,15,42,0
420130710000005,128,0,0,0,0,0,0,0,0,0,0
420130710000006,9,0,0,0,0,0,0,0,0,0,0
420140605000001,821,821,463,1,357,489,103,204,5,20,0
420140605000002,735,735,168,0,567,463,37,203,11,13,8
420140605000003,841,839,424,10,405,478,50,276,2,33,0
420140605000004,774,774,742,11,21,482,26,172,9,80,5
420140605000005,845,845,841,0,4,680,33,121,0,11,0
420140605000006,848,848,731,0,112,668,13,127,0,40,0
420140605000007,591,591,591,0,0,500,42,40,0,9,0
420140605000008,899,899,750,0,149,635,59,167,6,32,0
420140605000009,969,969,871,2,96,650,67,205,3,44,0
420140605000010,914,914,913,0,1,600,101,162,0,40,11
420140605000011,1320,1304,1268,0,33,1017,53,208,3,23,0
420140605000012,770,770,747,0,23,652,25,79,2,12,0
420140605000013,798,798,798,0,0,546,112,103,0,35,2
420140605000014,698,698,691,0,7,522,87,61,0,28,0
420140605000015,1004,1004,1004,0,0,769,117,73,16,29,0
420140605000016,1114,1114,1030,0,84,754,84,261,0,11,4
420140605000017,721,721,715,0,6,559,62,86,3,9,2
420140605000018,1184,1148,1113,0,34,894,47,155,4,48,0
420140605000019,622,622,618,0,4,390,137,55,0,27,13
420140605000020,854,854,854,0,0,463,199,125,11,56,0
420140605000021,488,485,481,0,4,419,2,56,1,7,0
420140605000022,714,712,705,0,7,565,57,73,8,9,0
420140605000023,825,825,766,0,59,664,28,128,0,5,0
420140605000024,657,656,563,0,93,480,20,126,3,27,0
420140605000025,1008,1008,919,0,89,733,74,163,0,38,0
420140605000026,860,860,860,0,0,695,36,112,8,9,0
420140605000027,1021,1021,1003,0,18,766,71,166,1,14,3
420140605000028,720,720,700,0,20,553,24,101,0,42,0
420140605000029,781,781,723,0,58,591,7,166,5,12,0
420140605000030,603,603,271,0,332,335,18,247,3,0,0
420140605000031,452,452,120,332,0,437,0,8,0,7,0
420140605000032,368,368,354,0,14,274,8,61,2,23,0
